Date,Open,High,Low,Close,Volume,Adj Close
2004-10-20,81.120003,81.730003,80.089996,80.790001,5129400,29.055499
2004-10-21,80.379997,80.839996,76.75,77.029999,16267600,27.844551
2004-10-22,78.029999,79.00,77.300003,77.339996,9025000,27.956608
2004-10-25,77.349998,78.620003,77.050003,78.339996,4387800,28.318085
2004-10-26,78.199997,79.519997,78.199997,79.410004,4759400,28.704868
2004-10-27,79.160004,81.080002,78.989998,80.800003,6047400,29.20732
2004-10-28,80.400002,80.660004,79.029999,79.529999,6464400,28.748243
2004-10-29,79.540001,80.779999,79.489998,80.540001,3871200,29.113335
2004-11-01,80.900002,81.910004,80.68,81.839996,5245800,29.583253
2004-11-02,81.970001,83.279999,81.610001,81.989998,6079200,29.637475
2004-11-03,84.00,84.480003,83.559998,84.25,6915200,30.454414
2004-11-04,84.470001,86.32,83.900002,85.879997,7655400,31.04362
2004-11-05,86.199997,87.849998,85.93,87.169998,7455600,31.509925
2004-11-08,87.010002,87.489998,86.190002,87.010002,4181000,31.45209
2004-11-09,86.800003,88.540001,86.720001,88.309998,5516200,31.922008
2004-11-10,88.510002,88.989998,88.050003,88.739998,5291400,32.077443
2004-11-11,88.980003,90.00,88.919998,89.849998,4492000,32.478683
2004-11-12,89.949997,89.970001,88.589996,89.970001,4662600,32.522061
2004-11-15,89.82,90.650002,89.400002,89.690002,4194000,32.420848
2004-11-16,89.940002,90.50,89.150002,89.879997,4628600,32.489527
2004-11-17,90.900002,91.470001,90.160004,90.879997,3939400,32.851003
2004-11-18,90.879997,91.779999,90.129997,91.440002,3567400,33.053432
2004-11-19,91.440002,91.440002,90.099998,90.18,3919800,32.597971
2004-11-22,90.25,90.93,89.610001,90.099998,3692000,32.569052
2004-11-23,91.400002,91.75,90.010002,90.889999,5179800,32.854619
2004-11-24,91.00,92.099998,90.730003,92.059998,3674000,33.277546
2004-11-26,92.25,92.879997,92.089996,92.800003,1418600,33.545041
2004-11-29,92.800003,93.199997,90.760002,91.160004,5228000,32.952219
2004-11-30,90.800003,91.779999,90.199997,91.550003,4185000,33.093195
2004-12-01,91.550003,92.660004,91.540001,92.650002,3336400,33.490819
2004-12-02,92.650002,92.650002,91.059998,91.730003,3408600,33.158261
2004-12-03,91.480003,91.830002,90.099998,90.919998,4909600,32.865463
2004-12-06,90.93,91.400002,90.410004,90.57,2917000,32.738946
2004-12-07,90.82,92.580002,90.709999,90.82,4527400,32.829316
2004-12-08,90.82,91.059998,90.019997,90.629997,3430600,32.760634
2004-12-09,90.199997,91.75,89.190002,91.470001,5305200,33.064276
2004-12-10,91.470001,92.089996,91.00,91.620003,2900600,33.118498
2004-12-13,92.349998,93.989998,91.93,93.980003,4642000,33.971583
2004-12-14,93.970001,94.230003,92.349998,93.699997,4624000,33.870368
2004-12-15,93.709999,95.18,93.580002,94.879997,4284200,34.29691
2004-12-16,94.900002,95.730003,93.889999,94.790001,4969200,34.264379
2004-12-17,94.790001,95.169998,93.660004,94.239998,5966400,34.065565
2004-12-20,94.900002,95.300003,94.099998,94.349998,3040600,34.105328
2004-12-21,94.849998,96.440002,94.57,96.260002,4318800,34.79575
2004-12-22,96.529999,97.43,96.260002,97.150002,3604600,35.117464
2004-12-23,97.150002,97.809998,96.900002,97.309998,2178000,35.175299
2004-12-27,97.480003,97.989998,95.900002,96.099998,2452000,34.737912
2004-12-28,96.629997,98.550003,96.599998,98.470001,2803000,35.594613
2004-12-29,98.00,98.720001,97.800003,98.470001,2533200,35.594613
2004-12-30,98.480003,98.599998,97.540001,97.540001,2396200,35.25844
2004-12-31,97.550003,98.00,97.169998,97.510002,1650200,35.247596
2005-01-03,96.099998,97.150002,94.540001,95.07,6294000,34.365592
2005-01-04,96.050003,96.300003,93.330002,94.019997,7579400,33.98604
2005-01-05,94.25,94.449997,92.220001,92.220001,5932800,33.335384
2005-01-06,92.400002,94.559998,92.220001,93.580002,6300400,33.826992
2005-01-07,93.669998,94.300003,93.150002,93.379997,5815400,33.754695
2005-01-10,93.50,93.699997,92.389999,92.519997,4818800,33.443825
2005-01-11,92.519997,92.519997,91.110001,91.239998,5896000,32.981135
2005-01-12,92.00,92.50,90.739998,92.370003,8387600,33.389606
2005-01-13,92.199997,93.129997,92.160004,92.860001,6702200,33.566728
2005-01-14,93.489998,94.029999,92.989998,93.690002,3825000,33.866755
2005-01-18,93.309998,93.50,91.900002,92.529999,4624600,33.594454
2005-01-19,92.300003,92.68,91.50,91.510002,5838600,33.224128
2005-01-20,91.510002,91.559998,89.919998,90.080002,5108200,32.704945
2005-01-21,89.93,90.959999,88.760002,89.230003,6873600,32.396339
2005-01-24,89.550003,89.730003,88.120003,88.120003,5634200,31.993336
2005-01-25,88.739998,90.50,88.129997,90.50,5999600,32.857431
2005-01-26,90.50,91.639999,89.900002,91.120003,6698000,33.082533
2005-01-27,87.400002,88.239998,86.400002,86.519997,21820200,31.412429
2005-01-28,87.00,88.120003,86.849998,87.459999,8176600,31.753712
2005-01-31,88.00,89.650002,87.660004,89.099998,6675200,32.349139
2005-02-01,89.599998,90.540001,89.150002,90.120003,4790000,32.719468
2005-02-02,90.089996,91.449997,89.57,91.010002,6762200,33.042596
2005-02-03,90.519997,92.029999,90.269997,91.800003,5226800,33.329418
2005-02-04,91.800003,92.190002,90.989998,91.900002,6606200,33.365724
2005-02-07,91.900002,92.190002,91.239998,91.360001,3716400,33.169668
2005-02-08,91.400002,91.82,90.629997,91.480003,3357200,33.213237
2005-02-09,91.480003,91.989998,90.50,90.639999,3792200,32.90826
2005-02-10,91.00,92.410004,90.910004,92.059998,3192400,33.423813
2005-02-11,92.300003,93.160004,91.300003,92.779999,4649800,33.68522
2005-02-14,93.139999,93.190002,91.870003,92.220001,2402400,33.481905
2005-02-15,92.010002,92.580002,90.980003,91.50,6315800,33.220497
2005-02-16,91.25,92.82,91.110001,92.540001,4533600,33.598085
2005-02-17,92.540001,93.040001,91.699997,91.82,3419400,33.336678
2005-02-18,91.82,91.849998,90.720001,90.839996,4278400,32.980872
2005-02-22,90.610001,91.410004,89.419998,89.459999,5091200,32.479843
2005-02-23,89.910004,90.769997,89.650002,90.459999,3099800,32.842908
2005-02-24,90.75,93.379997,90.709999,93.160004,4545600,33.823187
2005-02-25,93.080002,95.290001,92.75,94.82,6084200,34.425874
2005-02-28,94.599998,96.25,93.860001,95.050003,6591800,34.509381
2005-03-01,94.970001,97.599998,94.440002,97.370003,9691800,35.351693
2005-03-02,96.629997,97.800003,96.620003,97.169998,6762000,35.279078
2005-03-03,97.169998,97.849998,96.169998,97.739998,5446400,35.486025
2005-03-04,97.849998,99.959999,97.25,99.959999,8095800,36.292031
2005-03-07,99.900002,99.900002,98.550003,98.900002,4769600,35.907183
2005-03-08,99.099998,99.769997,98.400002,99.00,4963000,35.943489
2005-03-09,98.50,98.610001,96.75,96.809998,5742000,35.148374
2005-03-10,96.989998,98.959999,96.769997,98.260002,7006800,35.674821
2005-03-11,98.260002,99.580002,97.839996,99.00,5681600,35.943489
2005-03-14,97.900002,98.25,96.18,96.529999,8236400,35.046716
2005-03-15,96.760002,97.349998,96.300003,96.75,5436600,35.126591
2005-03-16,96.75,97.260002,95.510002,96.269997,4451800,34.952318
2005-03-17,96.400002,97.25,96.360001,96.82,3418000,35.152006
2005-03-18,97.50,97.870003,95.529999,96.400002,8858000,34.999519
2005-03-21,96.400002,97.050003,95.800003,96.18,3360200,34.919644
2005-03-22,96.550003,96.879997,94.559998,94.709999,4645200,34.385937
2005-03-23,94.769997,94.980003,93.529999,93.639999,5007000,33.997457
2005-03-24,93.849998,94.739998,93.580002,93.580002,3647400,33.975674
2005-03-28,93.589996,94.550003,93.019997,94.220001,4184800,34.208036
2005-03-29,93.400002,94.00,89.610001,89.800003,12307400,32.603287
2005-03-30,90.470001,91.720001,90.389999,91.480003,6588000,33.213237
2005-03-31,91.50,92.050003,90.660004,91.440002,4560400,33.198714
2005-04-01,92.00,92.25,89.830002,90.150002,6363800,32.730359
2005-04-04,89.800003,90.730003,89.07,90.209999,6504800,32.752142
2005-04-05,90.43,90.599998,89.349998,90.360001,4521800,32.806602
2005-04-06,90.610001,91.559998,90.610001,91.389999,4596000,33.18056
2005-04-07,91.300003,91.860001,90.900002,91.580002,3506600,33.249543
2005-04-08,91.980003,92.00,90.650002,90.690002,3612000,32.926415
2005-04-11,90.510002,91.129997,90.089996,90.169998,3357800,32.737619
2005-04-12,90.169998,91.50,89.160004,91.389999,4974400,33.18056
2005-04-13,91.239998,91.239998,88.339996,88.599998,6271400,32.167606
2005-04-14,88.589996,89.00,85.300003,85.400002,9787600,31.005798
2005-04-15,85.400002,85.50,82.919998,83.459999,9240600,30.30145
2005-04-18,83.639999,84.760002,82.610001,83.580002,6249800,30.345019
2005-04-19,84.400002,85.68,84.389999,84.949997,6874000,30.842417
2005-04-20,89.900002,90.00,87.669998,88.040001,17614800,31.964291
2005-04-21,88.300003,89.900002,87.50,89.660004,9534800,32.704763
2005-04-22,89.660004,90.400002,88.75,89.809998,6380400,32.759476
2005-04-25,90.449997,91.739998,90.089996,91.129997,5848800,33.240964
2005-04-26,91.139999,91.339996,88.75,88.860001,5686000,32.412951
